iter	Logloss
0	0.6234118513
1	0.5634673043
2	0.5086842654
3	0.4631607577
4	0.4255929301
5	0.394685922
6	0.3690970902
7	0.3486847128
8	0.3306705426
9	0.3172543461
10	0.3022599869
11	0.291464144
12	0.2816337706
13	0.2750725739
14	0.2679449821
15	0.2625695471
16	0.2575910689
17	0.2530980331
18	0.2489151138
19	0.244671533
20	0.2417723219
21	0.2392710935
22	0.2372547468
23	0.2353542112
24	0.2336430259
25	0.2317388331
26	0.2303347457
27	0.2290056475
28	0.2278183708
29	0.2266465384
30	0.225718138
31	0.2250690202
32	0.2240903149
33	0.223532316
34	0.2228029606
35	0.2223332542
36	0.221600253
37	0.221211856
38	0.2206471224
39	0.2197888297
40	0.2193674551
41	0.2190141983
42	0.2185784822
43	0.2182021357
44	0.2179071695
45	0.2175729489
46	0.2173349635
47	0.2168650491
48	0.216563129
49	0.2162699801
50	0.2160718726
51	0.2157998926
52	0.2156229156
53	0.215374548
54	0.2151856968
55	0.215022683
56	0.2147446651
57	0.2143852777
58	0.2142036948
59	0.2140726693
60	0.2139440668
61	0.2138019085
62	0.2136938056
63	0.2135615033
64	0.2133850919
65	0.2132262605
66	0.213109064
67	0.2129677982
68	0.2128256667
69	0.2127400007
70	0.2126014193
71	0.2124564667
72	0.2122958833
73	0.2121812683
74	0.2120623923
75	0.2120125264
76	0.2119411085
77	0.2118629991
78	0.2116822615
79	0.2116024163
80	0.2115279407
81	0.2113956237
82	0.211339435
83	0.211236436
84	0.2111384265
85	0.2110575011
86	0.2109718698
87	0.2108985756
88	0.2107347339
89	0.210669993
90	0.2105570431
91	0.2104685801
92	0.2103857251
93	0.2103117234
94	0.2102364134
95	0.21018373
96	0.2101119656
97	0.2100350119
98	0.2099344801
99	0.2098527707
100	0.2097543338
101	0.2096959459
102	0.2096316821
103	0.209554375
104	0.2094800573
105	0.2094153044
106	0.209346056
107	0.20929029
108	0.2092265167
109	0.2091963036
110	0.2091313892
111	0.2090726026
112	0.2090026246
113	0.2089661137
114	0.2089120724
115	0.2088386513
116	0.2087590886
117	0.2087102628
118	0.2086677271
119	0.2085546208
120	0.2084619726
