source,target,label,title_overlap,abstract_overlap,title_cosine,abstract_cosine,jaccard_similarity,preferential_attachment,adamic_adar,common_neighbors,community_resource_allocation,same_cluster
4862,615,1,0,20,0.0,0.10567202638610243,0.0,138,0.0,0,0.0,1
87,1150,1,2,24,0.20599062593624054,0.19665309766529443,0.0,522,0.0,0,0.0,1
91,4125,1,0,18,0.0,0.05131587855706231,0.0,920,0.0,0,0.0,1
2349,6532,1,0,23,0.0,0.05938754744118799,0.040268456375838924,4060,1.388428099440537,6,0.0005579228265582159,1
5547,1947,1,0,25,0.0,0.1502963092953075,0.0,2356,0.0,0,0.0,1
4614,6033,1,0,31,0.0,0.10467973292603297,0.0,1860,0.0,0,0.0,1
2727,362,1,0,26,0.0,0.07271226203996789,0.0,42,0.0,0,0.0,0
1436,2539,1,0,15,0.0,0.04493090837526451,0.06666666666666667,2990,0.20295281385904423,1,2.982048070614898e-05,0
6261,4718,1,0,30,0.0,0.20956303447522567,0.1,860,0.5889769265458303,3,0.00021218789259038856,1
4527,6350,1,1,25,0.03791451087133787,0.09167111680610612,0.0,5125,0.0,0,0.0,1
6523,126,1,0,15,0.0,0.07712167426490196,0.0,44,0.0,0,0.0,1
3166,5187,1,0,28,0.0,0.15923684004818953,0.0,11,0.0,0,0.0,1
1925,2886,1,1,18,0.07840427922648807,0.12073649106221687,0.0,2,0.0,0,0.0,1
2575,438,1,0,33,0.06459543476402983,0.28552008487008584,0.0,20,0.0,0,0.0,1
4346,4269,1,0,16,0.0,0.056375568984678846,0.0,323,0.0,0,0.0,0
2570,1816,1,1,24,0.024120059862674143,0.08752175913992247,0.0,65,0.0,0,0.0,1
6125,5047,1,2,19,0.1288857588427687,0.14681457317559854,0.0,60,0.0,0,0.0,1
6116,2366,1,0,26,0.08020240659741247,0.08003502658519203,0.15151515151515152,310,1.2109302380023297,5,0.0025956313433785723,1
4017,1896,1,2,23,0.16838711184656965,0.2314341621515473,0.0,216,0.0,0,0.0,1
6169,962,1,0,15,0.0,0.08757295810502312,0.0,4200,0.0,0,0.0,1
6354,2699,1,2,23,0.0603801608527143,0.1392569873609077,0.1111111111111111,120,0.5896743521908762,2,0.0036420101637492943,1
